id,submitter,authors,title,comments,journal-ref,doi,abstract,report-no,categories,versions
1812.00016,Steve Mairs,"Steve Mairs, Bhavana Lalchand, Geoffrey C. Bower, Jan Forbrich, Graham
  S. Bell, Gregory J. Herczeg, Doug Johnstone, Wen-Ping Chen, Jeong-Eun Lee,
  Alvaro Hacar","The JCMT Transient Survey: An Extraordinary Submillimetre Flare in the T
  Tauri Binary System JW 566","Accepted in ApJ. 16 pages (single column), 6 figures","ApJ (2019) 871, 72",10.3847/1538-4357/aaf3b1,"  The binary T Tauri system JW 566 in the Orion Molecular Cloud underwent an
energetic, short-lived flare observed at submillimetre wavelengths by the
SCUBA-2 instrument on 26 November 2016 (UT). The emission faded by nearly 50%
during the 31 minute integration. The simultaneous source fluxes averaged over
the observation are 500 +/- 107 mJy/beam at 450 microns and 466 +/- 47 mJy/beam
at 850 microns. The 850 micron flux corresponds to a radio luminosity of
$L_{\nu}=8\times10^{19}$ erg/s/Hz, approximately one order of magnitude
brighter (in terms of $\nu L_{\nu}$) than that of a flare of the young star
GMR-A, detected in Orion in 2003 at 3mm. The event may be the most luminous
known flare associated with a young stellar object and is also the first
coronal flare discovered at sub-mm wavelengths. The spectral index between 450
microns and 850 microns of $\alpha = 0.11$ is broadly consistent with
non-thermal emission. The brightness temperature was in excess of
$6\times10^{4}$ K. We interpret this event to be a magnetic reconnection that
energised charged particles to emit gyrosynchrotron/synchrotron radiation.
",,['astro-ph.SR'],['v1']
1705.05711,Alexander A. Osipov,"A. A. Osipov, A. A. Pivovarov, M. K. Volkov",The anomalous decay $f_1(1285)\to\rho\gamma$ and related processes,"7 pages, 1 figure, appear in Physical Review D","Phys. Rev. D 96, 054012 (2017)",10.1103/PhysRevD.96.054012,"  We work out the low-energy expansion of the anomalous
$f_1(1285)\to\rho\gamma$ decay amplitude by using the Nambu--Jona-Lasinio model
with $U(2)\times U(2)$ chiral symmetric four-quark interactions in the
one-quark-loop approximation. The related processes $f_1(1285)\to\omega\gamma$,
$a_1(1260)\to\omega\gamma$, and $a_1(1260)\to\rho\gamma$, are also considered.
An effective meson Lagrangian responsible for $f_1\rho\gamma$,
$f_1\omega\gamma$, $a_1\rho\gamma$ and $a_1\omega\gamma$ interactions is found.
The predicted radiative decay widths, $\Gamma_{f_1\to\rho^0\gamma}=311\
\mbox{keV}$, $\Gamma_{f_1\to\omega\gamma}=34.3\ \mbox{keV}$,
$\Gamma_{a_1\to\rho^0\gamma}=26.8\ \mbox{keV}$,
$\Gamma_{a_1\to\omega\gamma}=238\ \mbox{keV}$, allow an experimental test of
the hypothesis that $f_1(1285)$ and $a_1(1260)$-mesons have a quark-antiquark
nature. At present, only the $f_1(1285)\to\rho\gamma$ decay has been measured.
Our result is in remarkably good agreement with the recent data of CLAS
Collaboration $\Gamma_{f_1\to\rho^0\gamma}=453\pm 177\ \mbox{keV}$, but
disagrees with the PDG-based estimate of $\Gamma_{f_1\to\rho^0\gamma}=1326\pm
313\ \mbox{keV}$. The calculations presented require a minimum of theoretical
input, and are shown to be consistent with the non-renormalization theorems of
QCD.
",,['hep-ph'],"['v1', 'v2']"
2106.09656,Nuria Fuster-Mart\'inez N,"N. Fuster-Mart\'inez, R. W. A{\ss}mann, R. Bruce, M. Giovannozzi, P.
  Hermes, A. Mereghetti, D. Mirarchi, S. Redaelli, J. Wenninger","Beam-based aperture measurements with movable collimator jaws as
  performance booster of the CERN Large Hadron Collider","21 pages, 14 figures",,,"  The beam aperture of a particle accelerator defines the clearance available
for the circulating beams and is a parameter of paramount importance for the
accelerator performance. At the CERN Large Hadron Collider (LHC), the knowledge
and control of the available aperture is crucial because the nominal proton
beams carry an energy of 362 MJ stored in a superconducting environment. Even a
tiny fraction of beam losses could quench the superconducting magnets or cause
severe material damage. Furthermore, in a circular collider, the performance in
terms of peak luminosity depends to a large extent on the aperture of the inner
triplet quadrupoles, which are used to focus the beams at the interaction
points. In the LHC, this aperture represents the smallest aperture at
top-energy with squeezed beams and determines the maximum potential reach of
the peak luminosity. Beam-based aperture measurements in these conditions are
difficult and challenging. In this paper, we present different methods that
have been developed over the years for precise beam-based aperture measurements
in the LHC, highlighting applications and results that contributed to boost the
operational LHC performance in Run 1 (2010-2013) and Run 2 (2015-2018).
",,['physics.acc-ph'],['v1']
1207.4068,Meera Parish,F. M. Marchetti and M. M. Parish,Density-wave phases of dipolar fermions in a bilayer,"5 pages, 3 figures","Phys. Rev. B 87, 045110 (2013)",10.1103/PhysRevB.87.045110,"  We investigate the phase diagram of dipolar fermions with aligned dipole
moments in a two-dimensional (2D) bilayer. Using a version of the
Singwi-Tosi-Land-Sjolander scheme recently adapted to dipolar fermions in a
single layer [M. M. Parish and F. M. Marchetti, Phys. Rev. Lett. 108, 145304
(2012)], we determine the density-wave instabilities of the bilayer system
within linear response theory. We find that the bilayer geometry can stabilize
the collapse of the 2D dipolar Fermi gas with intralayer attraction to form a
new density wave phase that has an orientation perpendicular to the density
wave expected for strong intralayer repulsion. We thus obtain a quantum phase
transition between stripe phases that is driven by the interplay between strong
correlations and the architecture of the low dimensional system.
",,['cond-mat.quant-gas cond-mat.str-el'],['v1']
1602.06000,Michael Mommert,"M. Mommert, D. E. Trilling, D. Borth, R. Jedicke, N. Butler, M.
  Reyes-Ruiz, B. Pichardo, E. Petersen, T. Axelrod, N. Moskovitz","First Results from the Rapid-Response Spectrophotometric
  Characterization of Near-Earth Objects using UKIRT","27 pages, 6 figures, accepted by AJ",,10.3847/0004-6256/151/4/98,"  Using the Wide Field Camera for the United Kingdom Infrared Telescope, we
measure the near-infrared colors of near-Earth objects (NEOs) in order to put
constraints on their taxonomic classifications. The rapid-response character of
our observations allows us to observe NEOs when they are close to the Earth and
bright. Here we present near-infrared color measurements of 86 NEOs, most of
which were observed within a few days of their discovery, allowing us to
characterize NEOs with diameters of only a few meters. Using machine-learning
methods, we compare our measurements to existing asteroid spectral data and
provide probabilistic taxonomic classifications for our targets. Our
observations allow us to distinguish between S-complex, C/X-complex, D-type,
and V-type asteroids. Our results suggest that the fraction of S-complex
asteroids in the whole NEO population is lower than the fraction of ordinary
chondrites in the meteorite fall statistics. Future data obtained with UKIRT
will be used to investigate the significance of this discrepancy.
",,['astro-ph.EP'],['v1']
2105.11178,Christina Niklaus,"Christina Niklaus, Matthias Cetto, Andr\'e Freitas, Siegfried
  Handschuh",Context-Preserving Text Simplification,,,,"  We present a context-preserving text simplification (TS) approach that
recursively splits and rephrases complex English sentences into a semantic
hierarchy of simplified sentences. Using a set of linguistically principled
transformation patterns, input sentences are converted into a hierarchical
representation in the form of core sentences and accompanying contexts that are
linked via rhetorical relations. Hence, as opposed to previously proposed
sentence splitting approaches, which commonly do not take into account
discourse-level aspects, our TS approach preserves the semantic relationship of
the decomposed constituents in the output. A comparative analysis with the
annotations contained in the RST-DT shows that we are able to capture the
contextual hierarchy between the split sentences with a precision of 89% and
reach an average precision of 69% for the classification of the rhetorical
relations that hold between them.
",,['cs.CL'],['v1']
1812.10163,Anatolii Puhalskii A,Anatolii A. Puhalskii,Large deviations of the long term distribution of a non Markov process,,,,"  We prove that the long term distribution of the queue length process in an
ergodic generalised Jackson network obeys the Large Deviation Principle with a
deviation function given by the quasipotential. The latter is related to the
unique long term idempotent distribution, which is also a stationary idempotent
distribution, of the large deviation limit of the queue length processes. The
proof draws on developments in queueing network stability and idempotent
probability.
",,['math.PR'],"['v1', 'v2', 'v3', 'v4', 'v5', 'v6']"
1509.04931,"Oliver M\""uller","Oliver M\""uller, Helmut Jerjen, Bruno Binggeli",New dwarf galaxy candidates in the Centaurus group,,"A&A 583, A79 (2015)",10.1051/0004-6361/201526748,"  Recent studies of the distribution and kinematics of the Milky Way and
Andromeda satellite galaxy systems have confirmed the existence of coplanar,
corotating structures of galaxies. In addition to the 'missing satellite
problem', these structures pose a major challenge to the standard $\Lambda$CDM
scenario of structure formation. We complement the efforts made by the dwarf
galaxy community to extend these studies to other nearby galaxy groups by
systematically searching for faint, unresolved dwarf members with a low surface
brightness in the Southern Centaurus group of galaxies. The aim is to determine
whether these coplanar, corotating structures are a universal phenomenon. We
imaged an area of 60 square degrees (0.3 Mpc$^2$) around the M83 subgroup with
the wide-field Dark Energy Camera (DECam) at the CTIO 4 m Blanco telescope in
$g$ and $r$ down to a limiting surface brightness of $\mu_r\approx 30$ mag
arcsec$^{-2}$. Various image-filtering techniques were applied to the DECam
data to enhance the visibility of extremely low-surface brightness objects. We
report the discovery of 16 new dwarf galaxy candidates in the direction of the
M83 subgroup, roughly doubling the number of known dwarfs in that region. The
photometric properties of the candidates, when compared to those of the Local
Group, suggest membership in the M83 subgroup. The faintest objects have a
central star density of $\approx1.3 L_\odot$ pc$^{-2}$ and a total magnitude of
$g = 20.25$, corresponding to $M_g = -9.55$ at the nominal distance of 4.9 Mpc.
The sky distribution of the new objects is significantly prolonged toward Cen
A, suggesting that many of them belong to the Cen A subgroup or a common halo.
We also provide updated surface photometry for the brighter, known dwarf
members in the surveyed area.
",,['astro-ph.GA'],['v1']
cond-mat/9904299,Vyacheslav Andreevich Vdovenkov,V.A.Vdovenkov,Phonon-Drag Thermopower at High Temperatures,"Latex, 9 pages,5 figures","V.A.Vdovenkov. Electron-vibrational centers in semiconductor
  elements of microsystem engineering. Microsystem engineering, N12, p. 17,
  Moscow (2002), in Russian.",,"  The adiabatic cristal model is offered. It is shown that springy nuclei
oscillations relatively electronic envelops and waves of such oscillations
(inherent oscillations and waves) may exist in crystals. The analysis of
experimental temperature dependencies of resistivity in semiconductors with
electron-vibrational centres has shown that inherent oscillations effectively
interact with crystalline phonons as well as with electrons and holes, creating
powerful interaction of electrons and holes with phonons. The experimental
narrow peaks of phonon-drag thermoelectric power at Debye temperatures from 77K
to 700K confirm existence of inherent oscillations waves in crystals. Inherent
oscillations and waves gives rise to strong electron-phonon interaction and
probably can bring about superconductivity at temperatures as below so and well
above room temperature.
",PP-99-1,['cond-mat.mes-hall cond-mat.dis-nn'],['v1']
1808.02612,Debaleena Nandi,"D. Nandi, B. Skinner, G.H. Lee, K.-F. Huang, K. Shain, Cui-Zu Chang,
  Y. Ou, S.-P. Lee, J. Ward, J.S. Moodera, P. Kim, B.I. Halperin, A. Yacoby","Signatures of long-range-correlated disorder in the magnetotransport of
  ultrathin topological insulators","13 pages, 14 figures","Phys. Rev. B 98, 214203 (2018)",10.1103/PhysRevB.98.214203,"  In an ultrathin topological insulator (TI) film, a hybridization gap opens in
the TI surface states, and the system is expected to become either a trivial
insulator or a quantum spin Hall insulator when the chemical potential is
within the hybridization gap. Here we show, however, that these insulating
states are destroyed by the presence of a large and long-range-correlated
disorder potential, which converts the expected insulator into a metal. We
perform transport measurements in ultrathin, dual-gated topological insulator
films as a function of temperature, gate voltage, and magnetic field, and we
observe a metallic-like, non-quantized conductivity, which exhibits a weak
antilocalization-like cusp at the low magnetic field and gives way to a
nonsaturating linear magnetoresistance at large field. We explain these results
by considering the disordered network of electron- and hole-type puddles
induced by charged impurities. We argue theoretically that such disorder can
produce an insulator-to-metal transition as a function of increasing disorder
strength, and we derive a condition on the band gap and the impurity
concentration necessary to observe the insulating state. We also explain the
linear magnetoresistance in terms of strong spatial fluctuations of the local
conductivity, using both numerical simulations and a theoretical scaling
argument.
",,['cond-mat.mes-hall'],['v1']
