text,labels
"The binary T Tauri system JW 566 in the Orion Molecular Cloud underwent an energetic, short-lived flare observed at submillimetre wavelengths by the SCUBA-2 instrument on 26 November 2016 (UT). The emission faded by nearly 50% during the 31 minute integration. The simultaneous source fluxes averaged over the observation are 500 +/- 107 mJy/beam at 450 microns and 466 +/- 47 mJy/beam at 850 microns. The 850 micron flux corresponds to a radio luminosity of $L_{\nu}=8\times10^{19}$ erg/s/Hz, approximately one order of magnitude brighter (in terms of $\nu L_{\nu}$) than that of a flare of the young star GMR-A, detected in Orion in 2003 at 3mm. The event may be the most luminous known flare associated with a young stellar object and is also the first coronal flare discovered at sub-mm wavelengths. The spectral index between 450 microns and 850 microns of $\alpha = 0.11$ is broadly consistent with non-thermal emission. The brightness temperature was in excess of $6\times10^{4}$ K. We interpret this event to be a magnetic reconnection that energised charged particles to emit gyrosynchrotron/synchrotron radiation.",astro-ph.SR
"The binary T Tauri system JW 566 in the Orion Molecular Cloud underwent an energetic, short-lived flare observed at submillimetre wavelengths by the SCUBA-2 instrument on 26 November 2016 (UT). The emission faded by nearly 50% during the 31 minute integration. The simultaneous source fluxes averaged over the observation are 500 +/- 107 mJy/beam at 450 microns and 466 +/- 47 mJy/beam at 850 microns. The 850 micron flux corresponds to a radio brightness of $L_{\nu}=8\times10^{19}$ erg/s/Hz, approximately one order of magnitude brilliant (in terms of $\nu L_{\nu}$) than that of a flare of the young star GMR-A, detected in Orion in 2003 at 3mm. The event may be the most luminous known flare associated with a young stellar object and is also the first coronal flare discovered at sub-mm wavelengths. The spectral index between 450 microns and 850 microns of $\alpha = 0.11$ is broadly consistent with non-thermal emission. The brightness temperature was in excess of $6\times10^{4}$ K. We interpret this event to be a magnetic reconnection that energised charged particles to emit gyrosynchrotron/synchrotron radiation.",astro-ph.SR
"We work out the low-energy expansion of the anomalous $f_1(1285)\to\rho\gamma$ decay amplitude by using the Nambu--Jona-Lasinio model with $U(2)\times U(2)$ chiral symmetric four-quark interactions in the one-quark-loop approximation. The related processes $f_1(1285)\to\omega\gamma$, $a_1(1260)\to\omega\gamma$, and $a_1(1260)\to\rho\gamma$, are also considered. An effective meson Lagrangian responsible for $f_1\rho\gamma$, $f_1\omega\gamma$, $a_1\rho\gamma$ and $a_1\omega\gamma$ interactions is found. The predicted radiative decay widths, $\Gamma_{f_1\to\rho^0\gamma}=311\ \mbox{keV}$, $\Gamma_{f_1\to\omega\gamma}=34.3\ \mbox{keV}$, $\Gamma_{a_1\to\rho^0\gamma}=26.8\ \mbox{keV}$, $\Gamma_{a_1\to\omega\gamma}=238\ \mbox{keV}$, allow an experimental test of the hypothesis that $f_1(1285)$ and $a_1(1260)$-mesons have a quark-antiquark nature. At present, only the $f_1(1285)\to\rho\gamma$ decay has been measured. Our result is in remarkably good agreement with the recent data of CLAS Collaboration $\Gamma_{f_1\to\rho^0\gamma}=453\pm 177\ \mbox{keV}$, but disagrees with the PDG-based estimate of $\Gamma_{f_1\to\rho^0\gamma}=1326\pm 313\ \mbox{keV}$. The calculations presented require a minimum of theoretical input, and are shown to be consistent with the non-renormalization theorems of QCD.",hep-ph
"We work out the low-energy expansion of the anomalous $f_1(1285)\to\rho\gamma$ decay amplitude by practice the Nambu--Jona-Lasinio model with $U(2)\times U(2)$ chiral symmetric four-quark interactions in the one-quark-loop approximation. The related processes $f_1(1285)\to\omega\gamma$, $a_1(1260)\to\omega\gamma$, and $a_1(1260)\to\rho\gamma$, are also considered. An effective meson Lagrangian responsible for $f_1\rho\gamma$, $f_1\omega\gamma$, $a_1\rho\gamma$ and $a_1\omega\gamma$ interactions is found. The predicted radiative decay widths, $\Gamma_{f_1\to\rho^0\gamma}=311\ \mbox{keV}$, $\Gamma_{f_1\to\omega\gamma}=34.3\ \mbox{keV}$, $\Gamma_{a_1\to\rho^0\gamma}=26.8\ \mbox{keV}$, $\Gamma_{a_1\to\omega\gamma}=238\ \mbox{keV}$, allow an experimental test of the hypothesis that $f_1(1285)$ and $a_1(1260)$-mesons have a quark-antiquark nature. At present, only the $f_1(1285)\to\rho\gamma$ decay has been measured. Our result is in remarkably good agreement with the recent data of CLAS Collaboration $\Gamma_{f_1\to\rho^0\gamma}=453\pm 177\ \mbox{keV}$, but disagrees with the PDG-based estimate of $\Gamma_{f_1\to\rho^0\gamma}=1326\pm 313\ \mbox{keV}$. The calculations presented require a minimum of theoretical input, and are shown to be logical with the non-renormalization theorems of QCD.",hep-ph
"The beam aperture of a particle accelerator defines the clearance available for the circulating beams and is a parameter of paramount importance for the accelerator performance. At the CERN Large Hadron Collider (LHC), the knowledge and control of the available aperture is crucial because the nominal proton beams carry an energy of 362 MJ stored in a superconducting environment. Even a tiny fraction of beam losses could quench the superconducting magnets or cause severe material damage. Furthermore, in a circular collider, the performance in terms of peak luminosity depends to a large extent on the aperture of the inner triplet quadrupoles, which are used to focus the beams at the interaction points. In the LHC, this aperture represents the smallest aperture at top-energy with squeezed beams and determines the maximum potential reach of the peak luminosity. Beam-based aperture measurements in these conditions are difficult and challenging. In this paper, we present different methods that have been developed over the years for precise beam-based aperture measurements in the LHC, highlighting applications and results that contributed to boost the operational LHC performance in Run 1 (2010-2013) and Run 2 (2015-2018).",physics.acc-ph
"The beam aperture of a particle accelerator defines the clearance available for the disseminate beams and is a parameter of paramount importance for the accelerator performance. At the CERN Large Hadron Collider (LHC), the knowledge and control of the available aperture is crucial because the nominal proton beams carry an energy of 362 MJ stored in a superconducting environment. Even a tiny fraction of beam losses could quench the superconducting magnets or cause severe material damage. Furthermore, in a circular collider, the performance in terms of peak luminosity depends to a large extent on the aperture of the inner triplet quadrupoles, which are used to focus the beams at the interaction points. In the LHC, this aperture represents the smallest aperture at top-energy with squeezed beams and determines the maximum potential reach of the peak luminosity. Beam-based aperture measurements in these conditions are difficult and challenging. In this paper, we present different methods that have been developed over the years for precise beam-based aperture measurements in the LHC, highlighting coating and results that contributed to boost the operational LHC performance in Run 1 (2010-2013) and Run 2 (2015-2018).",physics.acc-ph
"We investigate the phase diagram of dipolar fermions with aligned dipole moments in a two-dimensional (2D) bilayer. Using a version of the Singwi-Tosi-Land-Sjolander scheme recently adapted to dipolar fermions in a single layer [M. M. Parish and F. M. Marchetti, Phys. Rev. Lett. 108, 145304 (2012)], we determine the density-wave instabilities of the bilayer system within linear response theory. We find that the bilayer geometry can stabilize the collapse of the 2D dipolar Fermi gas with intralayer attraction to form a new density wave phase that has an orientation perpendicular to the density wave expected for strong intralayer repulsion. We thus obtain a quantum phase transition between stripe phases that is driven by the interplay between strong correlations and the architecture of the low dimensional system.",cond-mat.quant-gas cond-mat.str-el
"We investigate the phase diagram of dipolar fermions with aligned dipole moments in a two-dimensional (2D) bilayer. Using a version of the Singwi-Tosi-Land-Sjolander scheme recently adapted to dipolar fermions in a single layer [M. M. Parish and F. M. Marchetti, Phys. Rev. Lett. 108, 145304 (2012)], we determine the density-wave instabilities of the bilayer system within linear response theory. We find that the bilayer geometry can stabilise the collapse of the 2D dipolar Fermi gas with intralayer attraction to form a new compactness wave phase that has an orientation perpendicular to the compactness wave expected for strong intralayer repulsion. We thus obtain a quantum phase transition between stripe phases that is driven by the interplay between strong correlations and the architecture of the low dimensional system.",cond-mat.quant-gas cond-mat.str-el
"Using the Wide Field Camera for the United Kingdom Infrared Telescope, we measure the near-infrared colors of near-Earth objects (NEOs) in order to put constraints on their taxonomic classifications. The rapid-response character of our observations allows us to observe NEOs when they are close to the Earth and bright. Here we present near-infrared color measurements of 86 NEOs, most of which were observed within a few days of their discovery, allowing us to characterize NEOs with diameters of only a few meters. Using machine-learning methods, we compare our measurements to existing asteroid spectral data and provide probabilistic taxonomic classifications for our targets. Our observations allow us to distinguish between S-complex, C/X-complex, D-type, and V-type asteroids. Our results suggest that the fraction of S-complex asteroids in the whole NEO population is lower than the fraction of ordinary chondrites in the meteorite fall statistics. Future data obtained with UKIRT will be used to investigate the significance of this discrepancy.",astro-ph.EP
"Using the Wide Field Camera for the United Kingdom Infrared Telescope, we measure the near-infrared colors of near-Earth objects (NEOs) in order to put constraints on their taxonomic classifications. The rapid-response character of our observations allows us to detect NEOs when they are close to the Earth and bright. Here we present near-infrared color measurements of 86 NEOs, most of which were observed within a few days of their discovery, allowing us to characterize NEOs with diameters of only a few meters. Using machine-learning methods, we compare our measurements to subsist asteroid spectral data and provide probabilistic taxonomic classifications for our targets. Our observations allow us to distinguish between S-complex, C/X-complex, D-type, and V-type asteroids. Our results suggest that the fraction of S-complex asteroids in the whole NEO population is lower than the fraction of ordinary chondrites in the meteorite fall statistics. Future data obtained with UKIRT will be used to investigate the significance of this discrepancy.",astro-ph.EP
